block,investor,amount_eth,total_eth,fee_paid_eth,is_address_contract,tx_hash
4570799,0x55b3230118D3952b35b7965b09752dD299a95706,6188,26397.6784,0.00306035,NO,0x8e57c9688e1ff6207c68650b3a7be42c2046302677478d0ecbaceb1bbd6201ad
4570799,0x9eC8E8F64EC6bB47d944B4b830130B5fCf2Da182,2000,10073.9316,0.0183621,NO,0xbeaded1f13a147082b9694b83c26ffcbc9fad2bb7d954a1f8c22c4c7c770102a
4570799,0xCBA5018De6b2b6F89d84A1F5A68953f07554765e,1605,1605,0.914484,NO,0x1262fe3daf5365bf5e61cb341fb83f366bb0e737918840bd1d1821bf194c099d
4570800,0x002ecfdA4147e48717cbE6810F261358bDAcC6b5,1452,35797.4384,0.734484,NO,0xbdadde826c825d9e111c731ff66d9441df6f19916282476f66fa9b46cf7c9a1b
4570799,0xCB1144E95c704D8835BB8B70132519244A0c45B3,1270,5474,0.061207,NO,0xc5601842c69ed8573459192b43e656bcc49375769053c617c5c6bfc3777ed696
4570799,0x003cb170077B8502C6D85B90AD7A505e3eD09A71,1145,17612.6784,0.00367242,NO,0x91d6f1a72551ca435829f49153c219d36966c3095bf1caf1371c8d4b6d84fa57
4570799,0x0002945F1fc37863f255e0803b75Ff1f5276E23A,1000,20209.6784,0.00306035,NO,0x82e64662e0de843e6f7ac87d047b353971d482be96e46aeb8840f8eea21ba594
4570799,0x9C4fcA4C220eFaf55c7531aAaeBF0936B7c54227,922,11908.9316,0.0122414,NO,0x7b12ec07032f814f1e2f9235d714f5a942d3c7b9c4c797ab3c91aee1d77b584b
4570801,0x83c7FB5CD9eCc5334eC028b8e0e25491CfF4D8B7,750,37813.4384,0.0061207,NO,0x394af9317e8c7ee7e9a596d2203ed46fd62b803700899d0cd619e320f948109d
4570799,0x00b5F428905DEA1a67940093fFeaCeee58cA91Ae,745,2476,0.306035,NO,0xf79498fbaba4995d29b985603e81c2d452310d32932c7a12853e061537ef801b
4570799,0x5006090E1e8ED9bFe64a42d1Ef62d10466094753,682,12590.9316,0.006181907,NO,0xed19cc478c52a21e058f46f699ad12aaf0a33643302c78a136a5fa1e594c31ca
4570801,0x61d78809f8E43702ba1A92F8D5F7b349C1751d5a,631,40233.2384,0.00306035,NO,0x7df2e3dff0e30ccda70e7388607f9df75f5d7a0776af0beff59e9b9ab2219bfe
4570799,0xE55ED4DB7445216c705a52c55f9598B074c10B3b,600,14155.9716,0.00367242,NO,0x083d4d9af358ca6fc729574d1b7f9d0465d42d9ce37e197ad64f55b5f80bb83f
4570799,0x40D2Fa6Ea02dFDD81eA621A1853069fbE39acc18,590,10663.9316,0.0183621,NO,0xfd4d86556d168d22a12280db3fb447cf839cb4a5ee40afba91035c6038657bf6
4570801,0xdc7778C338E869497f09f0894618334aFC21d266,529,38342.4384,0.0061207,NO,0xc98f4e5d48e734fa6148388304d32ba062f010e2388e76361928ae2369a6fe8b
4570800,0x1807fa3568cf22f623Cada77ec08cB55c8c75701,516,32924.8384,0.00367242,NO,0x035dbcc21f63b24fd85352075358502699ead02890db04c71efdcbccc95f0534
4570799,0x6745E85fF16302B1Aa3eFc745cDfbD538650C646,500,3708,0.0659383011,NO,0x75ba93892874691c370c75118090218936d48cdfc636440e65cfde5fe6b27e11
4570801,0xF23B127Ff5a6a8b60CC4cbF937e5683315894DDA,500,36410.4384,0.61207,NO,0x96209378cf5ce7d1e473ee773d059d06c3464a4e030759a90481e9590590ed66
4570799,0x4B11F86a69ed65E8e2266d936c55dC66f43dA055,500,19209.6784,0.00306035,NO,0x30e09584b3361b0e2185bfc09456f704570ffe48c6d0b1f56af6a26a4db97c91
